spp,act,pass,float,obsn,obst1,n3,seq
45530,34444,34444,0,1,339881,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYHPB
45529,8625,17760,0,1,339880,66,$=?>$$BUBO^B>C=N?>$$BLUBO%Q}}Y^OB$
45528,8625,17760,0,1,339874,66,$=?R$$BUBO^B>C=N?>$$BLUBO%}}Y^OB$
45527,8625,19410,0,1,339871,69,$=?>$$BUB^B>C$=N?>$$BLUBO$=?>$$BUBO^B>CC=N?>$$BLUBO%}}Y^OBB
45526,43575,39981,0,1,339870,62,$=?>$$BVBO^B>C$=?>$BLUBOG}}Y^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}Y^OB
45524,34444,41181,0,1,339840,51,RIXUUYGRHJLRWWRE$BLUBOS^ZB>C$=?>$$BUBO^ZB>C$=?>$$B
45523,34444,43115,0,1,339837,50,RIXUVUYGRHJLRWWRF$BLUBOS^ZB>C$=?>$BUBO^ZB>C$=?>$$B
45522,44336,45518,0,1,339835,0,$=?>$$BUBO^BC$=?>$B
45520,12476,42348,0,1,339811,47,$=?>$$BUBO^B>C$=N?>$$BLUB}%}Y^OB$=?>$BUB?O^B>CC
45519,45034,45127,0,1,339803,11,RHJLWWRE$BLUBO^GB>C$=?>D$CLUBO
45518,45495,21947,0,1,339799,0,$=?>DBLUBO%}}Y^OB
45518,45518,45522,0,1,339799,0,$=?>DBLUBO%}}Y^OB
45517,39981,39981,0,1,339783,62,$=?>$$BUBO^B>CO$=?>$BLUBO%}}Y^OB
45516,44452,45459,0,1,339774,104,O^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO?>$$BLUBO}OYHO
45515,34444,34444,0,1,339763,62,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWRE$BLUBO^B>C$=?>$$BBLUBOM%}OYFHOB
45514,44452,44452,0,1,339755,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^C>C$=?>$$BLUB%}OYH
45514,44452,45514,0,1,339755,50,HHLUEUWIYJRIXVUUYGHJLWWRE$BLUBO^C>C$=?>$$BLUB%}OYH
45513,45247,45465,0,1,339747,0,BHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHOBHJLRWWSE$BLUBO^>C$=?>$$BLUBO}^BX>C$?>$$BLUBO}OYHO
45511,34444,43115,0,1,339739,50,RIXUVUYGRHJLRVWRE$BLUBOS^ZB>C$=?>$BUBO^ZB>C$=?>$$B
45510,39981,39981,0,1,339735,62,$=?>$$BUBO^BW>C$=?>$BLUBO%}}Y^OB
45509,44452,44452,0,1,339735,50,HHLUEUWIYJRIXVUUYGHJLWRE$BLUBO^B>C$=?>$$BLUB%}OYH
45508,12476,36259,0,1,339728,63,$U?>$$BUBO^B>C$=N?>$BLUBO%}Y^OB
45507,18267,22239,0,1,339717,54,$=?>$$BUBO$=?>$$BUBO^B>C$=N?>$BB
45506,8625,45237,0,1,339715,98,$=?>$$BUBO^B>C$=?>C$BLUBO%}}YOB$=?>$$BUBO^B>C$=N?>$$BLUBO%}}Y^OB
45505,39981,39981,0,1,339713,62,$=?>$$BUBO^B>C$=?>$BLUBO}}Y^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}Y^OB
45504,44609,39981,0,1,339703,0,$=?>$$B=OBB>CD=N?>$$BLUBO%}}Y^OB
45502,37843,44452,0,1,339694,50,HHLUEUWIYJRIXVUUYGHJLWWRE%$BLUBO^B>C$=?>$$BLUB%}OYH
45499,21947,8625,0,1,339672,14,$=?>$$BUBO^BCC
45498,43115,38907,0,1,339658,0,RIXUVUYGRHJLRWWRE$BLUBOS^ZB>C$=?>$BUBO^ZB>C$=?>$$BLUBOM
45497,12476,12476,0,1,339651,64,$=?>$$BUBO^B>C$=N?>$$BTLUBO%}Y^OB
45496,24813,45438,0,1,339648,111,$=?>$$BUBO^B>C$=N?>$$BLUB}%}}Y^OB$=?>$$BUBO^B>C$=N?>$$BLUB}%}}Y^OB$=?>$$BUBO^B>C$=N?>$$BLUB}%}}Y^OB$=?$$$
45495,39981,39981,0,1,339643,62,$=?>DBLUBO%}}Y^OB$=?>$$BUBO^B>C$=?>$BLUBO%}}Y^OB
45494,39981,39981,0,1,339636,0,$=?>$$BUBO^B>C$=?>$CLUBO%}}Y^OB
45493,34444,44438,0,1,339627,63,EWLHHHRLUEUWJYJRIXUVUYGRHJLRWWMRE$GBLUBO^B>C$=?>$$BBLUBOM%}OYHOB
45492,45397,45397,0,1,339621,128,$=?>$$BUBO^B>C$=N?>$$BLUBO%}}YOB$=?>$$BUBO^B>C$=N?>$$BLUBO%}}YOB$=?>$$BUBO^B>C$=N>$$BLUBO%}}Y^OB
